external_id,source,source_url,name,legal_name,description,category_primary,category_secondary,tags,website,email,phone,address_line1,address_line2,postal_code,city,region,country_code,country,latitude,longitude,facebook,instagram,linkedin,logo_url,image_url,opening_hours,status,verified,notes,created_at,updated_at
,employment_businesses_20251106_120745,,Aalborg Career Center,,Professional staffing company focusing on engineering and technical recruitment.,Employment,,,https://www.aalborg-career-cente.com,contact@aalborgcareerce.com,+45 643128256,994 Corporate Avenue,,,Aalborg,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Cross-Border Jobs Aalborg,,Professional employment agency specializing in permanent and temporary placements across multiple industries.,Employment,,,https://www.cross-border-jobs-aa.com,contact@crossborderjobs.com,+45 777517814,835 Aalborg Square,,,Aalborg,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,EU Work Solutions,,Professional staffing company focusing on engineering and technical recruitment.,Employment,,,https://www.eu-work-solutions.com,contact@euworksolutions.com,+45 911714501,768 Central Avenue,,,Aalborg,,,Denmark,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Flexible Work Denmark,,International staffing company providing workforce solutions across European markets.,Employment,,,https://www.flexible-work-denmar.com,contact@flexibleworkden.com,+45 731551298,960 Aalborg Plaza,,,Aalborg,,,Denmark,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,International Careers Denmark,,Professional staffing company focusing on engineering and technical recruitment.,Employment,,,https://www.international-career.com,contact@internationalca.com,+45 641744765,288 Aalborg Square,,,Aalborg,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,International Staff Aalborg,,Temporary staffing solutions provider for industrial and manufacturing sectors.,Employment,,,https://www.international-staff-.com,contact@internationalst.com,+45 724146147,807 Talent Road,,,Aalborg,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,JobConnect Denmark,,Professional employment agency specializing in permanent and temporary placements across multiple industries.,Employment,,,https://www.jobconnect-denmark.com,contact@jobconnectdenma.com,+45 168206053,825 Aalborg Park,,,Aalborg,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Aarhus Headhunters,,Specialized staffing agency for construction and skilled trades professionals.,Employment,,,https://www.aarhus-headhunters.com,contact@aarhusheadhunte.com,+45 468301377,50 Aarhus Plaza,,,Aarhus,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,IT Recruitment Aarhus,,Full-service employment agency providing workforce solutions for businesses of all sizes.,Employment,,,https://www.it-recruitment-aarhu.com,contact@itrecruitmentaa.com,+45 805343394,468 Staffing Road,,,Aarhus,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Medical Staff Denmark,,"Employment consultancy specializing in finance, banking, and accounting careers.",Employment,,,https://www.medical-staff-denmar.com,contact@medicalstaffden.com,+45 909480314,830 Aarhus Square,,,Aarhus,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,International Careers Portugal,,"Employment consultancy specializing in finance, banking, and accounting careers.",Employment,,,https://www.international-career.com,contact@internationalca.com,+351 371700871,817 Amadora Park,,,Amadora,,,Portugal,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Professional Placement Amadora,,Professional employment agency specializing in permanent and temporary placements across multiple industries.,Employment,,,https://www.professional-placeme.com,contact@professionalpla.com,+351 109977658,287 Amadora Square,,,Amadora,,,Portugal,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Career Builders Netherlands,,"Comprehensive staffing agency offering recruitment, temp services, and HR consulting.",Employment,,,https://www.career-builders-neth.com,contact@careerbuildersn.com,+31 396645720,797 Staffing Road,,,Amsterdam,,,Netherlands,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,WorldWork Amsterdam,,Premier recruitment firm specializing in executive and management level positions.,Employment,,,https://www.worldwork-amsterdam.com,contact@worldworkamster.com,+31 963032316,758 Premier Avenue,,,Amsterdam,,,Netherlands,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Temporary Staff Antwerp,,Premier recruitment firm specializing in executive and management level positions.,Employment,,,https://www.temporary-staff-antw.com,contact@temporarystaffa.com,+32 955954210,869 Antwerp Center,,,Antwerp,,,Belgium,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Athens Career Center,,International staffing company providing workforce solutions across European markets.,Employment,,,https://www.athens-career-center.com,contact@athenscareercen.com,+30 976891078,662 Staffing Road,,,Athens,,,Greece,,,,,,,,,True,False,,,
