name,description,address,phone_number,website,email,category,city,country,postal_code,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,is_active,is_public,is_featured
Maître Gaillard Fabien,Professional lawyer services.,"11 Bd de Sébastopol, 75001 Paris, France",06 10 14 23 92,https://consultation.avocat.fr/avocat-paris/fabien-gaillard-55433.html,info@maitregaillardfabien.com,Legal Services,Paris,France,,48.858952,2.348167,,,,,,,,true,true,false
Other Stories,Professional clothing store services.,"Pg. de Gràcia, 8, 10, L'Eixample, 08007 Barcelona, Spain",930 39 33 09,https://www.stories.com/en_eur/,info@otherstories.com,Clothing Store,Barcelona,Spain,,41.389059,2.16928,,,,,,,,true,true,false
Vida Vet Clínica Veterinària,Professional veterinary care services.,"Carrer del Segle XX, 7, Horta-Guinardó, 08041 Barcelona, Spain",934 08 61 04,http://www.vidavet.es/,info@vidavetclinicaveterinaria.com,Veterinary,Barcelona,Spain,,41.422383,2.178334,,,,,,,,true,true,false
123GOLD Trauring-Zentrum Berlin,Professional jewelry store services.,"Potsdamer Platz 9, 10117 Berlin, Germany",030 610818980,https://www.123gold.de/standorte/berlin/,info@123goldtrauringzentrumberlin.com,Jewelry Stores,Berlin,Germany,,52.508525,13.37753,,,,,,,,true,true,false
13 Auto Service,Professional car repair services.,"16 Bd Sainte-Thérèse, 13005 Marseille, France",09 81 71 63 89,,info@13autoservice.com,Auto Repair,Marseille,France,,43.292402,5.409972,,,,,,,,true,true,false
1850 Urban Spa Barcelona,Professional spa services.,"Carrer de la Diputació, 75, L'Eixample, 08015 Barcelona, Spain",930 16 05 66,https://www.1850urbanspabarcelona.com/,info@1850urbanspabarcelona.com,Spas,Barcelona,Spain,,41.381109,2.154539,,,,,,,,true,true,false
1860 Le Palais,Professional french restaurant services.,"9 La Canebière Vieux Port, 13001 Marseille, France",04 91 99 54 84,https://www.1860lepalais.fr/,info@1860lepalais.com,French Restaurants,Marseille,France,,43.296055,5.375157,,,,,,,,true,true,false
1862 Dry Bar,Signature & classic cocktails served in an elegant street-level bar or in a cozy vaulted cellar.,"C. del Pez, 27, Centro, 28004 Madrid, Spain",609 53 11 51,https://1862drybar.myrestoo.net/es/reservar/seleccionar-horario?update_booking_id=&status_id=1&pax=2&pax_children=0&date=2024-05-09&time=16%3A00%3A00&experience_id=&experience_tickets=&area_id=&button_pax=2&input_party_size=7&button_date=2024-05-09&booking-date=&booking-date_submit=,info@1862drybar.com,Bars & Pubs,Madrid,Spain,,40.424163,-3.706529,,,,,,,,true,true,false
25hours Hotel Bikini Berlin,"Trendy lodging next to the zoo featuring a buzzy rooftop bar & a restaurant, plus a sauna.","Budapester Str. 40, 10787 Berlin, Germany",030 1202210,https://25hours-hotels.com/berlin/bikini-berlin/,info@25hourshotelbikiniberlin.com,Hotel,Berlin,Germany,,52.505721,13.337689,,,,,,,,true,true,false
28 RUEDAS,Professional auto parts store services.,"C/ de la Remunta, 18, Poblados Marítimos, 46011 València, Valencia, Spain",671 39 21 25,,info@28ruedas.com,Retail,Valencia,Spain,,39.474168,-0.328315,,,,,,,,true,true,false
28 Vintage Clothing Friperie Thrift store,Professional clothing store services.,"C. de Embajadores, 6, Centro, 28012 Madrid, Spain",664 21 22 29,https://www.instagram.com/28vintagemadrid/,info@28vintageclothingfriperiethriftstore.com,Clothing Store,Madrid,Spain,,40.410368,-3.70682,,,,,,,,true,true,false
2D Cafe Always Together,Professional cafe services.,"Große Hamburger Str. 24, 10115 Berlin, Germany",,https://cafealwaystogether.de/,info@2dcafealwaystogether.com,Cafés & Coffee,Berlin,Germany,,52.524042,13.399644,,,,,,,,true,true,false
3001 Kino,Professional movie theater services.,"Schanzenstraße 75, 20357 Hamburg, Germany",040 437679,http://www.3001-kino.de/,info@3001kino.com,Cinemas,Hamburg,Germany,,53.562104,9.965696,,,,,,,,true,true,false
360 Consulting GmbH Berlin,Professional consultant services.,"Tor4, Haus5, Thiemannstraße 1, 12059 Berlin, Germany",030 23257384,,info@360consultinggmbhberlin.com,Business Consultants,Berlin,Germany,,52.479079,13.451805,,,,,,,,true,true,false
36Rooms,"Townhouse offering simple dorms & private rooms with free Wi-Fi, plus a kitchen & a TV lounge.","Spreewaldpl. 8, 10999 Berlin, Germany",030 53086398,http://www.36rooms.com/,info@36rooms.com,Hostels,Berlin,Germany,,52.498608,13.430919,,,,,,,,true,true,false
3f auto services,Professional car repair services.,"111 Av. Victor Hugo, 75016 Paris, France",07 49 90 22 38,http://www.3fautoservices.com/,info@3fautoservices.com,Auto Repair,Paris,France,,48.86827,2.283163,,,,,,,,true,true,false
400 Grados Pizza,"Modern pizzeria with create-your-own options, firing pies in a pared-down locale with a chill vibe.","Calle de María de Molina, 30, Salamanca, 28006 Madrid, Spain",627 08 69 40,http://www.400pizza.com/,info@400gradospizza.com,Pizza Restaurants,Madrid,Spain,,40.43755,-3.684483,,,,,,,,true,true,false
43 The Spa,Professional spa services.,"Carrer de la Marina, 19, 21, Ciutat Vella, 08005 Barcelona, Spain",,https://www.ritzcarlton.com/en/hotels/bcnrz-hotel-arts-barcelona/spa/?scid=feed67b0-9a2f-4de1-8df6-114544116108,info@43thespa.com,Spas,Barcelona,Spain,,41.386681,2.196172,,,,,,,,true,true,false
4S Shoes,Professional shoe store services.,"Carrer Gran de Gràcia, 26, Gràcia, 08012 Barcelona, Spain",650 90 19 02,http://www.fours.es/,info@4sshoes.com,Shoe Stores,Barcelona,Spain,,41.398573,2.157115,,,,,,,,true,true,false
53 ° Hamburg | Store | CMD,Professional clothing store services.,"Am Kaiserkai 45 Dalmannkai Treppen (Promenade an der Elbe, Am Kaiserkai 45, 20457 Hamburg, Germany",040 35738704,https://53grad-hamburg.de/,info@53hamburgstorecmd.com,Clothing Store,Hamburg,Germany,,53.540967,9.988194,,,,,,,,true,true,false
56Paris Real Estate,Professional real estate agency services.,"56 Rue de Verneuil, 75007 Paris, France",(917) 746-8056,https://www.56paris.com/,info@56parisrealestate.com,Real Estate Agencies,Paris,France,,48.858747,2.327205,,,,,,,,true,true,false
5AM,Professional consultant services.,"Hegestraße 40/2. OG, 20251 Hamburg, Germany",01573 0414422,https://five-am.com/,info@5am.com,Business Consultants,Hamburg,Germany,,53.58326,9.982221,,,,,,,,true,true,false
60 Seconds to napoli | Hamburg,Professional restaurant services.,"Großer Burstah 1-3, 20457 Hamburg, Germany",,https://60secondstonapoli.de/,info@60secondstonapolihamburg.com,Restaurant,Hamburg,Germany,,53.54869,9.99123,,,,,,,,true,true,false
60 seconds to napoli,Traditional wood-fired pizzas with creative toppings in a casual restaurant featuring a full bar.,"Oderberger Str. 61, 10435 Berlin, Germany",030 47009602,https://60secondstonapoli.de/,info@60secondstonapoli.com,Pizza Restaurants,Berlin,Germany,,52.537714,13.411254,,,,,,,,true,true,false
7VB Café,Professional coffee shop services.,"9 Rue Caisserie, 13002 Marseille, France",,https://www.7vbcafe.fr/,info@7vbcafe.com,Retail,Marseille,France,,43.297139,5.368863,,,,,,,,true,true,false
95 ART GALLERY,Professional art gallery services.,"C. de Álvarez Abellán, 23, Carabanchel, 28025 Madrid, Spain",,https://instagram.com/95artgallery,info@95artgallery.com,Art Galleries,Madrid,Spain,,40.38512,-3.731646,,,,,,,,true,true,false
://about blank,"Industrial-style nightclub featuring techno & house DJ sets, plus a leafy garden.","Markgrafendamm 24c, 10245 Berlin, Germany",,http://www.aboutblank.li/,info@aboutblank.com,Entertainment & Nightlife,Berlin,Germany,,52.502532,13.466373,,,,,,,,true,true,false
A Casa Martínez B&B,Relaxed rooms with minifridges in a low-key bed-and-breakfast offering bike rentals & Wi-Fi.,"Av. del Regne de València, 57, L'Eixample, 46005 València, Valencia, Spain",674 14 60 07,https://www.acasamartinez.com/?utm_source=Google%20my%20business&utm_medium=GMB&utm_campaign=GMB&utm_term=location&utm_content=location,info@acasamartinezbb.com,Bed & Breakfasts,Valencia,Spain,,39.463447,-0.365659,,,,,,,,true,true,false
A J Reparaciones del Automóvil,Professional car repair services.,"C. Nestares, 10, Arganzuela, 28045 Madrid, Spain",653 85 11 94,,info@ajreparacionesdelautomovil.com,Auto Repair,Madrid,Spain,,40.386549,-3.692445,,,,,,,,true,true,false
A Mano,"Refined choice serving Italian staples such as pasta, fish & meat plates, plus a robust wine list.","Strausberger Pl. 2, 10243 Berlin, Germany",030 95598243,http://www.amano-ristorante.de/,info@amano.com,Italian Restaurants,Berlin,Germany,,52.519392,13.427386,,,,,,,,true,true,false
A huevo - Restaurant a València,"Bright, modern option with a creative menu emphasizing eggs & egg-based ingredients.","C. de Salamanca, 28, bajo izquierda, Ensanche, 46005 Valencia, Spain",963 28 40 66,https://www.ahuevorestaurante.com/?source=google-my-business,info@ahuevorestaurantavalencia.com,Restaurant,Valencia,Spain,,39.465777,-0.36405,,,,,,,,true,true,false
A room at Montmartre,Professional bed and breakfast services.,"18 Rue Gabrielle, 75018 Paris, France",06 82 84 65 28,http://www.chambre-montmartre.com/,info@aroomatmontmartre.com,Bed & Breakfasts,Paris,France,,48.885808,2.340704,,,,,,,,true,true,false
A&D Consulting,Professional consultant services.,"Helbingstraße 66, 22047 Hamburg, Germany",040 468988640,http://www.a-dconsulting.de/,info@adconsulting.com,Business Consultants,Hamburg,Germany,,53.586473,10.0981,,,,,,,,true,true,false
A&D MOTORCYCLE VALLECAS,Professional store services.,"C. de Felisa Méndez, 5, Puente de Vallecas, 28053 Madrid, Spain",910 07 31 70,,info@admotorcyclevallecas.com,Retail,Madrid,Spain,,40.393346,-3.670266,,,,,,,,true,true,false
A. Lacroix Pâtissier,"Specialty coffees, sweet pastries & savory treats in a hip cafe with views of Notre-Dame cathedral.","11 Quai de Montebello, 75005 Paris, France",01 74 64 14 86,http://www.alacroixparis.com/,info@alacroixpatissier.com,Pastry Shops,Paris,France,,48.851731,2.349436,,,,,,,,true,true,false
A.M.A. Seguros,Professional insurance agency services.,"Pl. d'Amèrica, 6, L'Eixample, 46004 València, Valencia, Spain",963 94 08 22,https://www.amaseguros.com/oficinas/valencia,info@amaseguros.com,Insurance Agencies,Valencia,Spain,,39.471204,-0.365828,,,,,,,,true,true,false
A.S.H. Automobile GmbH,Professional car dealer services.,"Poppenbütteler Bogen 32, 22399 Hamburg, Germany",040 66857099,https://autosalon-hh.de/,info@ashautomobilegmbh.com,Car Dealers,Hamburg,Germany,,53.670527,10.069388,,,,,,,,true,true,false
A.T.T.-Tiedemann-Motorräder e.Kfm.,Professional store services.,"Otto-Erich-Straße 10B, 14109 Berlin, Germany",030 80603326,http://www.attberlin.de/,info@atttiedemannmotorraderekfm.com,Retail,Berlin,Germany,,52.41744,13.14271,,,,,,,,true,true,false
A1 Paris Apartments,Professional real estate agency services.,"15 Rue Chapon, 75003 Paris, France",01 86 26 02 04,https://www.a1realestate.paris/,info@a1parisapartments.com,Real Estate Agencies,Paris,France,,48.863303,2.356428,,,,,,,,true,true,false
AB APARTMENT BARCELONA - Empresa Gestora de Apartamentos Turísticos y de Temporada en Barcelona,Professional real estate agency services.,"Gran Via de les Corts Catalanes, 558, Bajos, Eixample, 08011 Barcelona, Spain",934 81 35 77,https://www.apartmentbarcelona.com/,info@abapartmentbarcelonaempresagestoradeapartamentosturisticosydetemporadaenbarcelona.com,Real Estate Agencies,Barcelona,Spain,,41.383349,2.160854,,,,,,,,true,true,false
ABANIC,Professional spanish restaurant services.,"Carrer del Rosselló, 207, Eixample, 08008 Barcelona, Spain",602 49 12 94,https://reservation.dish.co/widget/hydra-f784ff55-a585-48a8-8343-48eaf7885b96,info@abanic.com,Asian Restaurants,Barcelona,Spain,,41.392773,2.15643,,,,,,,,true,true,false
ABC Gran Turia,Professional movie theater services.,"Plaza Europa, s/n, 46950 Xirivella, Valencia, Spain",963 79 33 66,http://www.cinesabc.com/,info@abcgranturia.com,Cinemas,Valencia,Spain,,39.465374,-0.414396,,,,,,,,true,true,false
ACA Auditores,Professional consultant services.,"C. de Serrano, 78, 2º B, Salamanca, 28006 Madrid, Spain",915 47 01 79,http://www.acaauditores.es/,info@acaauditores.com,Business Consultants,Madrid,Spain,,40.431021,-3.686609,,,,,,,,true,true,false
ACCOMPANY Spain,Professional consultant services.,"Carrer de París, 162 - 164, L'Eixample, 08036 Barcelona, Spain",,http://www.accompany.es/,info@accompanyspain.com,Business Consultants,Barcelona,Spain,,41.392146,2.151633,,,,,,,,true,true,false
ACCOUNT FOR,Professional consultant services.,"immeuble le Woodstock, 67 Mnt de Saint-Menet, 13011 Marseille, France",04 91 87 53 45,http://www.accountfor.fr/,info@accountfor.com,Business Consultants,Marseille,France,,43.291353,5.495278,,,,,,,,true,true,false
AD Garage Expert DES SAULES - ETS CLEMENT AUTOMOBILES,Professional car repair services.,"25 Rue des Saules, 31400 Toulouse, France",05 61 52 06 82,https://www.ad.fr/garage/garage-des-saules-ets-clement-automobiles?utm_campaign=google_my_business&utm_medium=organic&utm_source=google,info@adgarageexpertdessaulesetsclementautomobiles.com,Auto Repair,Toulouse,France,,43.586063,1.441945,,,,,,,,true,true,false
AD Garage Expert GOMEZ (31000),Professional car repair services.,"3 Rue Edmond de Planet, 31000 Toulouse, France",05 61 21 81 15,https://www.ad.fr/garage/garage-ad-expert-garage-gomez-31000?utm_campaign=google_my_business&utm_medium=organic&utm_source=google,info@adgarageexpertgomez31000.com,Auto Repair,Toulouse,France,,43.607179,1.426539,,,,,,,,true,true,false
ADEN Immobilien,Professional real estate agency services.,"Giesebrechtstraße 16, 10629 Berlin, Germany",030 220661177,https://aden-immo.com/,info@adenimmobilien.com,Real Estate Agencies,Berlin,Germany,,52.502312,13.310025,,,,,,,,true,true,false
AESA Prep Academy of Barcelona,Professional school services.,"Carrer de Montevideo, 31, Sarrià-Sant Gervasi, 08034 Barcelona, Spain",638 67 80 93,http://aesaprepbarcelona.com/,info@aesaprepacademyofbarcelona.com,Schools,Barcelona,Spain,,41.397227,2.112636,,,,,,,,true,true,false
