source,source_external_id,name,description,category_primary,tags,website,email,phone,address_line1,postal_code,town,city,region,country_code,latitude,longitude,logo_url,status,notes
eu_businesses_comprehensive_20251106_114856,,Vienna IT Services,"Quality technology services in Vienna, Austria. Professional and reliable business serving the local community.",,,https://www.viennaitservices.com,info@viennaitservices.com,+41-181-6821,785 King Street,54015,,Vienna,,AT,38.121408,12.399913,,active,
eu_businesses_comprehensive_20251106_114856,,Innovation Varna,"Quality technology services in Varna, Bulgaria. Professional and reliable business serving the local community.",,,https://www.innovationvarna.com,info@innovationvarna.com,+53-986-1765,14 King Street,71896,,Varna,,BG,38.964588,6.671686,,active,
eu_businesses_comprehensive_20251106_114856,,Digital Split,"Quality technology services in Split, Croatia. Professional and reliable business serving the local community.",,,https://www.digitalsplit.com,info@digitalsplit.com,+70-145-1874,224 Queen Street,60507,,Split,,HR,63.182904,3.308137,,active,
eu_businesses_comprehensive_20251106_114856,,TechSolutions Paphos,"Quality technology services in Paphos, Cyprus. Professional and reliable business serving the local community.",,,https://www.techsolutionspaphos.com,info@techsolutionspaphos.com,+30-478-8435,92 Queen Street,62518,,Paphos,,CY,60.653494,27.38139,,active,
eu_businesses_comprehensive_20251106_114856,,Smart Brno,"Quality technology services in Brno, Czech Republic. Professional and reliable business serving the local community.",,,https://www.smartbrno.com,info@smartbrno.com,+96-813-8708,937 Main Street,16116,,Brno,,CZ,67.574547,-2.776344,,active,
eu_businesses_comprehensive_20251106_114856,,Digital Esbjerg,"Quality technology services in Esbjerg, Denmark. Professional and reliable business serving the local community.",,,https://www.digitalesbjerg.com,info@digitalesbjerg.com,+38-740-4461,76 King Street,66803,,Esbjerg,,DK,63.511181,-8.993258,,active,
eu_businesses_comprehensive_20251106_114856,,Innovation Tallinn,"Quality technology services in Tallinn, Estonia. Professional and reliable business serving the local community.",,,https://www.innovationtallinn.com,info@innovationtallinn.com,+78-896-4148,626 Main Street,85745,,Tallinn,,EE,52.245028,-5.528654,,active,
eu_businesses_comprehensive_20251106_114856,,Oulu IT Services,"Quality technology services in Oulu, Finland. Professional and reliable business serving the local community.",,,https://www.ouluitservices.com,info@ouluitservices.com,+83-366-1565,477 Main Street,36865,,Oulu,,FI,58.977012,7.981743,,active,
eu_businesses_comprehensive_20251106_114856,,Innovation Heraklion,"Quality technology services in Heraklion, Greece. Professional and reliable business serving the local community.",,,https://www.innovationheraklion.com,info@innovationheraklion.com,+64-198-4392,968 King Street,71932,,Heraklion,,GR,41.049548,-1.082101,,active,
eu_businesses_comprehensive_20251106_114856,,Innovation Budapest,"Quality technology services in Budapest, Hungary. Professional and reliable business serving the local community.",,,https://www.innovationbudapest.com,info@innovationbudapest.com,+68-610-6924,702 King Street,53773,,Budapest,,HU,38.048769,9.677096,,active,
eu_businesses_comprehensive_20251106_114856,,Smart Cork,"Quality technology services in Cork, Ireland. Professional and reliable business serving the local community.",,,https://www.smartcork.com,info@smartcork.com,+41-905-1138,512 Queen Street,21600,,Cork,,IE,49.040495,5.623694,,active,
eu_businesses_comprehensive_20251106_114856,,Innovation Turin,"Quality technology services in Turin, Italy. Professional and reliable business serving the local community.",,,https://www.innovationturin.com,info@innovationturin.com,+54-643-2710,774 Queen Street,87321,,Turin,,IT,65.036514,4.443071,,active,
eu_businesses_comprehensive_20251106_114856,,Digital Jūrmala,"Quality technology services in Jūrmala, Latvia. Professional and reliable business serving the local community.",,,https://www.digitaljūrmala.com,info@digitaljūrmala.com,+96-321-4667,429 Queen Street,29351,,Jūrmala,,LV,66.245156,9.513663,,active,
eu_businesses_comprehensive_20251106_114856,,TechSolutions Klaipėda,"Quality technology services in Klaipėda, Lithuania. Professional and reliable business serving the local community.",,,https://www.techsolutionsklaipėda.com,info@techsolutionsklaipėda.com,+60-194-1627,748 Main Street,73262,,Klaipėda,,LT,63.447836,3.585803,,active,
eu_businesses_comprehensive_20251106_114856,,TechSolutions Luxembourg City,"Quality technology services in Luxembourg City, Luxembourg. Professional and reliable business serving the local community.",,,https://www.techsolutionsluxembourgcity.com,info@techsolutionsluxembourgcity.com,+99-231-2344,525 Main Street,70048,,Luxembourg City,,LU,52.007335,-8.853596,,active,
eu_businesses_comprehensive_20251106_114856,,Innovation Qormi,"Quality technology services in Qormi, Malta. Professional and reliable business serving the local community.",,,https://www.innovationqormi.com,info@innovationqormi.com,+87-255-5533,668 Queen Street,70778,,Qormi,,MT,66.775772,26.668981,,active,
eu_businesses_comprehensive_20251106_114856,,Smart Wrocław,"Quality technology services in Wrocław, Poland. Professional and reliable business serving the local community.",,,https://www.smartwrocław.com,info@smartwrocław.com,+54-252-7858,772 High Street,64530,,Wrocław,,PL,50.722662,17.766888,,active,
eu_businesses_comprehensive_20251106_114856,,Digital Iași,"Quality technology services in Iași, Romania. Professional and reliable business serving the local community.",,,https://www.digitaliași.com,info@digitaliași.com,+86-109-4789,41 High Street,80398,,Iași,,RO,55.726578,10.487588,,active,
eu_businesses_comprehensive_20251106_114856,,Innovation Žilina,"Quality technology services in Žilina, Slovakia. Professional and reliable business serving the local community.",,,https://www.innovationžilina.com,info@innovationžilina.com,+33-846-7719,76 Queen Street,35299,,Žilina,,SK,47.545519,8.04313,,active,
eu_businesses_comprehensive_20251106_114856,,Innovation Ljubljana,"Quality technology services in Ljubljana, Slovenia. Professional and reliable business serving the local community.",,,https://www.innovationljubljana.com,info@innovationljubljana.com,+91-452-9007,631 Church Street,59738,,Ljubljana,,SI,57.72248,29.292678,,active,
eu_businesses_comprehensive_20251106_114856,,Smart Gothenburg,"Quality technology services in Gothenburg, Sweden. Professional and reliable business serving the local community.",,,https://www.smartgothenburg.com,info@smartgothenburg.com,+41-452-8863,374 High Street,63859,,Gothenburg,,SE,50.806059,3.860782,,active,
eu_businesses_comprehensive_20251106_114856,,Linz Financial,"Quality accounting firms services in Linz, Austria. Professional and reliable business serving the local community.",,,https://www.linzfinancial.com,info@linzfinancial.com,+78-793-7523,16 High Street,91765,,Linz,,AT,67.235476,13.864932,,active,
eu_businesses_comprehensive_20251106_114856,,Tax Experts Sofia,"Quality accounting firms services in Sofia, Bulgaria. Professional and reliable business serving the local community.",,,https://www.taxexpertssofia.com,info@taxexpertssofia.com,+82-985-6161,34 Main Street,49983,,Sofia,,BG,51.364895,-2.421245,,active,
eu_businesses_comprehensive_20251106_114856,,Zadar Financial,"Quality accounting firms services in Zadar, Croatia. Professional and reliable business serving the local community.",,,https://www.zadarfinancial.com,info@zadarfinancial.com,+76-124-3803,120 King Street,88212,,Zadar,,HR,59.635323,20.616317,,active,
eu_businesses_comprehensive_20251106_114856,,Fiscal Larnaca,"Quality accounting firms services in Larnaca, Cyprus. Professional and reliable business serving the local community.",,,https://www.fiscallarnaca.com,info@fiscallarnaca.com,+39-784-6977,114 Main Street,89963,,Larnaca,,CY,65.841424,-8.524845,,active,
eu_businesses_comprehensive_20251106_114856,,Tax Experts Brno,"Quality accounting firms services in Brno, Czech Republic. Professional and reliable business serving the local community.",,,https://www.taxexpertsbrno.com,info@taxexpertsbrno.com,+90-652-6348,278 Main Street,44324,,Brno,,CZ,46.94849,5.96456,,active,
eu_businesses_comprehensive_20251106_114856,,Accounting Plus Aalborg,"Quality accounting firms services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,https://www.accountingplusaalborg.com,info@accountingplusaalborg.com,+94-461-3723,652 High Street,91522,,Aalborg,,DK,62.484732,0.513202,,active,
eu_businesses_comprehensive_20251106_114856,,Narva Accounting,"Quality accounting firms services in Narva, Estonia. Professional and reliable business serving the local community.",,,https://www.narvaaccounting.com,info@narvaaccounting.com,+75-916-1634,909 Church Street,31686,,Narva,,EE,62.94154,3.58317,,active,
eu_businesses_comprehensive_20251106_114856,,Helsinki Financial,"Quality accounting firms services in Helsinki, Finland. Professional and reliable business serving the local community.",,,https://www.helsinkifinancial.com,info@helsinkifinancial.com,+44-991-3797,798 Queen Street,58866,,Helsinki,,FI,57.891876,27.191074,,active,
eu_businesses_comprehensive_20251106_114856,,Fiscal Heraklion,"Quality accounting firms services in Heraklion, Greece. Professional and reliable business serving the local community.",,,https://www.fiscalheraklion.com,info@fiscalheraklion.com,+68-414-3201,490 Main Street,80258,,Heraklion,,GR,54.88149,4.88903,,active,
eu_businesses_comprehensive_20251106_114856,,Fiscal Budapest,"Quality accounting firms services in Budapest, Hungary. Professional and reliable business serving the local community.",,,https://www.fiscalbudapest.com,info@fiscalbudapest.com,+48-576-5812,542 Church Street,96123,,Budapest,,HU,42.013003,23.862139,,active,
