name,description,category_id,email,phone,website,address,city,country,postal_code,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,is_active,is_public,is_featured,is_verified
Vienna IT Services,"Quality technology services in Vienna, Austria. Professional and reliable business serving the local community.",1,info@viennaitservices.com,+41-181-6821,https://www.viennaitservices.com,785 King Street,Vienna,Austria,54015,38.121408,12.399913,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Innovation Varna,"Quality technology services in Varna, Bulgaria. Professional and reliable business serving the local community.",1,info@innovationvarna.com,+53-986-1765,https://www.innovationvarna.com,14 King Street,Varna,Bulgaria,71896,38.964588,6.671686,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Digital Split,"Quality technology services in Split, Croatia. Professional and reliable business serving the local community.",1,info@digitalsplit.com,+70-145-1874,https://www.digitalsplit.com,224 Queen Street,Split,Croatia,60507,63.182904,3.308137,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
TechSolutions Paphos,"Quality technology services in Paphos, Cyprus. Professional and reliable business serving the local community.",1,info@techsolutionspaphos.com,+30-478-8435,https://www.techsolutionspaphos.com,92 Queen Street,Paphos,Cyprus,62518,60.653494,27.38139,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Smart Brno,"Quality technology services in Brno, Czech Republic. Professional and reliable business serving the local community.",1,info@smartbrno.com,+96-813-8708,https://www.smartbrno.com,937 Main Street,Brno,Czech Republic,16116,67.574547,-2.776344,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Digital Esbjerg,"Quality technology services in Esbjerg, Denmark. Professional and reliable business serving the local community.",1,info@digitalesbjerg.com,+38-740-4461,https://www.digitalesbjerg.com,76 King Street,Esbjerg,Denmark,66803,63.511181,-8.993258,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Innovation Tallinn,"Quality technology services in Tallinn, Estonia. Professional and reliable business serving the local community.",1,info@innovationtallinn.com,+78-896-4148,https://www.innovationtallinn.com,626 Main Street,Tallinn,Estonia,85745,52.245028,-5.528654,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Oulu IT Services,"Quality technology services in Oulu, Finland. Professional and reliable business serving the local community.",1,info@ouluitservices.com,+83-366-1565,https://www.ouluitservices.com,477 Main Street,Oulu,Finland,36865,58.977012,7.981743,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Innovation Heraklion,"Quality technology services in Heraklion, Greece. Professional and reliable business serving the local community.",1,info@innovationheraklion.com,+64-198-4392,https://www.innovationheraklion.com,968 King Street,Heraklion,Greece,71932,41.049548,-1.082101,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Innovation Budapest,"Quality technology services in Budapest, Hungary. Professional and reliable business serving the local community.",1,info@innovationbudapest.com,+68-610-6924,https://www.innovationbudapest.com,702 King Street,Budapest,Hungary,53773,38.048769,9.677096,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Smart Cork,"Quality technology services in Cork, Ireland. Professional and reliable business serving the local community.",1,info@smartcork.com,+41-905-1138,https://www.smartcork.com,512 Queen Street,Cork,Ireland,21600,49.040495,5.623694,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Innovation Turin,"Quality technology services in Turin, Italy. Professional and reliable business serving the local community.",1,info@innovationturin.com,+54-643-2710,https://www.innovationturin.com,774 Queen Street,Turin,Italy,87321,65.036514,4.443071,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Digital Jūrmala,"Quality technology services in Jūrmala, Latvia. Professional and reliable business serving the local community.",1,info@digitaljūrmala.com,+96-321-4667,https://www.digitaljūrmala.com,429 Queen Street,Jūrmala,Latvia,29351,66.245156,9.513663,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
TechSolutions Klaipėda,"Quality technology services in Klaipėda, Lithuania. Professional and reliable business serving the local community.",1,info@techsolutionsklaipėda.com,+60-194-1627,https://www.techsolutionsklaipėda.com,748 Main Street,Klaipėda,Lithuania,73262,63.447836,3.585803,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
TechSolutions Luxembourg City,"Quality technology services in Luxembourg City, Luxembourg. Professional and reliable business serving the local community.",1,info@techsolutionsluxembourgcity.com,+99-231-2344,https://www.techsolutionsluxembourgcity.com,525 Main Street,Luxembourg City,Luxembourg,70048,52.007335,-8.853596,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Innovation Qormi,"Quality technology services in Qormi, Malta. Professional and reliable business serving the local community.",1,info@innovationqormi.com,+87-255-5533,https://www.innovationqormi.com,668 Queen Street,Qormi,Malta,70778,66.775772,26.668981,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Smart Wrocław,"Quality technology services in Wrocław, Poland. Professional and reliable business serving the local community.",1,info@smartwrocław.com,+54-252-7858,https://www.smartwrocław.com,772 High Street,Wrocław,Poland,64530,50.722662,17.766888,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Digital Iași,"Quality technology services in Iași, Romania. Professional and reliable business serving the local community.",1,info@digitaliași.com,+86-109-4789,https://www.digitaliași.com,41 High Street,Iași,Romania,80398,55.726578,10.487588,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Innovation Žilina,"Quality technology services in Žilina, Slovakia. Professional and reliable business serving the local community.",1,info@innovationžilina.com,+33-846-7719,https://www.innovationžilina.com,76 Queen Street,Žilina,Slovakia,35299,47.545519,8.04313,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Innovation Ljubljana,"Quality technology services in Ljubljana, Slovenia. Professional and reliable business serving the local community.",1,info@innovationljubljana.com,+91-452-9007,https://www.innovationljubljana.com,631 Church Street,Ljubljana,Slovenia,59738,57.72248,29.292678,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Smart Gothenburg,"Quality technology services in Gothenburg, Sweden. Professional and reliable business serving the local community.",1,info@smartgothenburg.com,+41-452-8863,https://www.smartgothenburg.com,374 High Street,Gothenburg,Sweden,63859,50.806059,3.860782,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Linz Financial,"Quality accounting firms services in Linz, Austria. Professional and reliable business serving the local community.",43,info@linzfinancial.com,+78-793-7523,https://www.linzfinancial.com,16 High Street,Linz,Austria,91765,67.235476,13.864932,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Tax Experts Sofia,"Quality accounting firms services in Sofia, Bulgaria. Professional and reliable business serving the local community.",43,info@taxexpertssofia.com,+82-985-6161,https://www.taxexpertssofia.com,34 Main Street,Sofia,Bulgaria,49983,51.364895,-2.421245,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Zadar Financial,"Quality accounting firms services in Zadar, Croatia. Professional and reliable business serving the local community.",43,info@zadarfinancial.com,+76-124-3803,https://www.zadarfinancial.com,120 King Street,Zadar,Croatia,88212,59.635323,20.616317,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Fiscal Larnaca,"Quality accounting firms services in Larnaca, Cyprus. Professional and reliable business serving the local community.",43,info@fiscallarnaca.com,+39-784-6977,https://www.fiscallarnaca.com,114 Main Street,Larnaca,Cyprus,89963,65.841424,-8.524845,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Tax Experts Brno,"Quality accounting firms services in Brno, Czech Republic. Professional and reliable business serving the local community.",43,info@taxexpertsbrno.com,+90-652-6348,https://www.taxexpertsbrno.com,278 Main Street,Brno,Czech Republic,44324,46.94849,5.96456,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Accounting Plus Aalborg,"Quality accounting firms services in Aalborg, Denmark. Professional and reliable business serving the local community.",43,info@accountingplusaalborg.com,+94-461-3723,https://www.accountingplusaalborg.com,652 High Street,Aalborg,Denmark,91522,62.484732,0.513202,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Narva Accounting,"Quality accounting firms services in Narva, Estonia. Professional and reliable business serving the local community.",43,info@narvaaccounting.com,+75-916-1634,https://www.narvaaccounting.com,909 Church Street,Narva,Estonia,31686,62.94154,3.58317,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Helsinki Financial,"Quality accounting firms services in Helsinki, Finland. Professional and reliable business serving the local community.",43,info@helsinkifinancial.com,+44-991-3797,https://www.helsinkifinancial.com,798 Queen Street,Helsinki,Finland,58866,57.891876,27.191074,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
