source,source_external_id,name,description,category_primary,tags,website,email,phone,address_line1,postal_code,town,city,region,country_code,latitude,longitude,logo_url,status,notes
cleaned_businesses_for_import,,Maître Gaillard Fabien,Professional lawyer services.,Legal Services,,https://consultation.avocat.fr/avocat-paris/fabien-gaillard-55433.html,info@maitregaillardfabien.com,,"11 Bd de Sébastopol, 75001 Paris, France",,,Paris,,FR,48.858952,2.348167,,active,
cleaned_businesses_for_import,,Other Stories,Professional clothing store services.,Clothing Store,,https://www.stories.com/en_eur/,info@otherstories.com,,"Pg. de Gràcia, 8, 10, L'Eixample, 08007 Barcelona, Spain",,,Barcelona,,ES,41.389059,2.16928,,active,
cleaned_businesses_for_import,,Vida Vet Clínica Veterinària,Professional veterinary care services.,Veterinary,,http://www.vidavet.es/,info@vidavetclinicaveterinaria.com,,"Carrer del Segle XX, 7, Horta-Guinardó, 08041 Barcelona, Spain",,,Barcelona,,ES,41.422383,2.178334,,active,
cleaned_businesses_for_import,,123GOLD Trauring-Zentrum Berlin,Professional jewelry store services.,Jewelry Stores,,https://www.123gold.de/standorte/berlin/,info@123goldtrauringzentrumberlin.com,,"Potsdamer Platz 9, 10117 Berlin, Germany",,,Berlin,,DE,52.508525,13.37753,,active,
cleaned_businesses_for_import,,13 Auto Service,Professional car repair services.,Auto Repair,,,info@13autoservice.com,,"16 Bd Sainte-Thérèse, 13005 Marseille, France",,,Marseille,,FR,43.292402,5.409972,,active,
cleaned_businesses_for_import,,1850 Urban Spa Barcelona,Professional spa services.,Spas,,https://www.1850urbanspabarcelona.com/,info@1850urbanspabarcelona.com,,"Carrer de la Diputació, 75, L'Eixample, 08015 Barcelona, Spain",,,Barcelona,,ES,41.381109,2.154539,,active,
cleaned_businesses_for_import,,1860 Le Palais,Professional french restaurant services.,French Restaurants,,https://www.1860lepalais.fr/,info@1860lepalais.com,,"9 La Canebière Vieux Port, 13001 Marseille, France",,,Marseille,,FR,43.296055,5.375157,,active,
cleaned_businesses_for_import,,1862 Dry Bar,Signature & classic cocktails served in an elegant street-level bar or in a cozy vaulted cellar.,Bars & Pubs,,https://1862drybar.myrestoo.net/es/reservar/seleccionar-horario?update_booking_id=&status_id=1&pax=2&pax_children=0&date=2024-05-09&time=16%3A00%3A00&experience_id=&experience_tickets=&area_id=&button_pax=2&input_party_size=7&button_date=2024-05-09&booking-date=&booking-date_submit=,info@1862drybar.com,,"C. del Pez, 27, Centro, 28004 Madrid, Spain",,,Madrid,,ES,40.424163,-3.706529,,active,
cleaned_businesses_for_import,,25hours Hotel Bikini Berlin,"Trendy lodging next to the zoo featuring a buzzy rooftop bar & a restaurant, plus a sauna.",Hotel,,https://25hours-hotels.com/berlin/bikini-berlin/,info@25hourshotelbikiniberlin.com,,"Budapester Str. 40, 10787 Berlin, Germany",,,Berlin,,DE,52.505721,13.337689,,active,
cleaned_businesses_for_import,,28 RUEDAS,Professional auto parts store services.,Retail,,,info@28ruedas.com,,"C/ de la Remunta, 18, Poblados Marítimos, 46011 València, Valencia, Spain",,,Valencia,,ES,39.474168,-0.328315,,active,
cleaned_businesses_for_import,,28 Vintage Clothing Friperie Thrift store,Professional clothing store services.,Clothing Store,,https://www.instagram.com/28vintagemadrid/,info@28vintageclothingfriperiethriftstore.com,,"C. de Embajadores, 6, Centro, 28012 Madrid, Spain",,,Madrid,,ES,40.410368,-3.70682,,active,
cleaned_businesses_for_import,,2D Cafe Always Together,Professional cafe services.,Cafés & Coffee,,https://cafealwaystogether.de/,info@2dcafealwaystogether.com,,"Große Hamburger Str. 24, 10115 Berlin, Germany",,,Berlin,,DE,52.524042,13.399644,,active,
cleaned_businesses_for_import,,3001 Kino,Professional movie theater services.,Cinemas,,http://www.3001-kino.de/,info@3001kino.com,,"Schanzenstraße 75, 20357 Hamburg, Germany",,,Hamburg,,DE,53.562104,9.965696,,active,
cleaned_businesses_for_import,,360 Consulting GmbH Berlin,Professional consultant services.,Business Consultants,,,info@360consultinggmbhberlin.com,,"Tor4, Haus5, Thiemannstraße 1, 12059 Berlin, Germany",,,Berlin,,DE,52.479079,13.451805,,active,
cleaned_businesses_for_import,,36Rooms,"Townhouse offering simple dorms & private rooms with free Wi-Fi, plus a kitchen & a TV lounge.",Hostels,,http://www.36rooms.com/,info@36rooms.com,,"Spreewaldpl. 8, 10999 Berlin, Germany",,,Berlin,,DE,52.498608,13.430919,,active,
cleaned_businesses_for_import,,3f auto services,Professional car repair services.,Auto Repair,,http://www.3fautoservices.com/,info@3fautoservices.com,,"111 Av. Victor Hugo, 75016 Paris, France",,,Paris,,FR,48.86827,2.283163,,active,
cleaned_businesses_for_import,,400 Grados Pizza,"Modern pizzeria with create-your-own options, firing pies in a pared-down locale with a chill vibe.",Pizza Restaurants,,http://www.400pizza.com/,info@400gradospizza.com,,"Calle de María de Molina, 30, Salamanca, 28006 Madrid, Spain",,,Madrid,,ES,40.43755,-3.684483,,active,
cleaned_businesses_for_import,,43 The Spa,Professional spa services.,Spas,,https://www.ritzcarlton.com/en/hotels/bcnrz-hotel-arts-barcelona/spa/?scid=feed67b0-9a2f-4de1-8df6-114544116108,info@43thespa.com,,"Carrer de la Marina, 19, 21, Ciutat Vella, 08005 Barcelona, Spain",,,Barcelona,,ES,41.386681,2.196172,,active,
cleaned_businesses_for_import,,4S Shoes,Professional shoe store services.,Shoe Stores,,http://www.fours.es/,info@4sshoes.com,,"Carrer Gran de Gràcia, 26, Gràcia, 08012 Barcelona, Spain",,,Barcelona,,ES,41.398573,2.157115,,active,
cleaned_businesses_for_import,,53 ° Hamburg | Store | CMD,Professional clothing store services.,Clothing Store,,https://53grad-hamburg.de/,info@53hamburgstorecmd.com,,"Am Kaiserkai 45 Dalmannkai Treppen (Promenade an der Elbe, Am Kaiserkai 45, 20457 Hamburg, Germany",,,Hamburg,,DE,53.540967,9.988194,,active,
cleaned_businesses_for_import,,56Paris Real Estate,Professional real estate agency services.,Real Estate Agencies,,https://www.56paris.com/,info@56parisrealestate.com,,"56 Rue de Verneuil, 75007 Paris, France",,,Paris,,FR,48.858747,2.327205,,active,
