external_id,source,source_url,name,legal_name,description,category_primary,category_secondary,tags,website,email,phone,address_line1,address_line2,postal_code,city,region,country_code,country,latitude,longitude,facebook,instagram,linkedin,logo_url,image_url,opening_hours,status,verified,notes,created_at,updated_at
,eu_businesses_comprehensive_20251106_114856,,Aalborg Style,,"Quality clothing store services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.aalborgstyle.com,info@aalborgstyle.com,+57-936-9016,180 Main Street,,12714,Aalborg,,,Denmark,46.567243,21.940515,,,,,,,True,False,,,
,eu_businesses_comprehensive_20251106_114856,,Aalborg Sweets,,"Quality pastry shops services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.aalborgsweets.com,info@aalborgsweets.com,+54-200-1917,399 King Street,,43299,Aalborg,,,Denmark,37.304385,1.378298,,,,,,,True,False,,,
,eu_businesses_comprehensive_20251106_114856,,Accounting Plus Aalborg,,"Quality accounting firms services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.accountingplusaalborg.com,info@accountingplusaalborg.com,+94-461-3723,652 High Street,,91522,Aalborg,,,Denmark,62.484732,0.513202,,,,,,,True,False,,,
,eu_businesses_comprehensive_20251106_114856,,Analysis Aalborg,,"Quality medical laboratories services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.analysisaalborg.com,info@analysisaalborg.com,+57-258-5156,487 Main Street,,96908,Aalborg,,,Denmark,53.154554,17.054187,,,,,,,True,False,,,
,eu_businesses_comprehensive_20251106_114856,,Asian Fusion Aalborg,,"Quality asian restaurants services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.asianfusionaalborg.com,info@asianfusionaalborg.com,+42-235-8430,779 Church Street,,81255,Aalborg,,,Denmark,35.093382,16.532931,,,,,,,True,False,,,
,eu_businesses_comprehensive_20251106_114856,,Bowl Aalborg,,"Quality bowling alleys services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.bowlaalborg.com,info@bowlaalborg.com,+99-406-7394,982 Main Street,,90731,Aalborg,,,Denmark,60.061184,-1.30215,,,,,,,True,True,,,
,eu_businesses_comprehensive_20251106_114856,,Espresso Aalborg,,"Quality cafes services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.espressoaalborg.com,info@espressoaalborg.com,+52-845-9641,198 Church Street,,83008,Aalborg,,,Denmark,66.721806,-9.027921,,,,,,,True,True,,,
,eu_businesses_comprehensive_20251106_114856,,Fast Aalborg,,"Quality fast food services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.fastaalborg.com,info@fastaalborg.com,+54-773-7160,57 Church Street,,25658,Aalborg,,,Denmark,37.636563,8.674157,,,,,,,True,True,,,
,eu_businesses_comprehensive_20251106_114856,,Fit Aalborg,,"Quality fitness & sports services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.fitaalborg.com,info@fitaalborg.com,+46-452-1131,968 Church Street,,79264,Aalborg,,,Denmark,36.426934,-9.462506,,,,,,,True,True,,,
,eu_businesses_comprehensive_20251106_114856,,Fresh Aalborg,,"Quality supermarkets services in Aalborg, Denmark. Professional and reliable business serving the local community.",,,,https://www.freshaalborg.com,info@freshaalborg.com,+63-658-9283,777 High Street,,93937,Aalborg,,,Denmark,64.969849,-2.819065,,,,,,,True,False,,,
